Document;Topic;Name;Top_n_words;Probability;Representative_document;model
die bundesregierung bekennt sich zum gemeinsamen  voranbringen der notwendigen innovationen im verkehrssektor hin zu umweltfreundlicher mobilität für alle  um zukunftsfähige lösungen für unser individuelles mobilitätsbedürfnis zu bieten dadurch sollen die menschen  echte wahlfreiheit auf ihren alltäglichen wegen erhalten  nicht nur in unseren städten sondern auch und besonders  im ländlichen raum wir wollen ein verkehrssystem das  im sinne der österreichischen bevölkerung ist und den  anforderungen des  jahrhunderts gerecht wird deshalb schaffen wir ein gutes sicheres barrierefreies und  preisgünstiges sowie flächendeckendes mobilitätsangebot  für die österreicherinnen und österreicher;6.0;6_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - luftfahrt - verkehrs - schifffahrt - bahn - entlang;1.0;1.0;(7.0, 0.25, 20, 5)
 die öbb sind  in kooperation mit den regionalen systempartnern  zentraler dienstleister für  die mobilität von personen im nah und fernverkehr sowie im nationalen und internationalen  güterverkehr;6.0;6_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - luftfahrt - verkehrs - schifffahrt - bahn - entlang;1.0;1.0;(7.0, 0.25, 20, 5)
 dekarbonisierung busverkehr  mehrkosten der elektrifizierung von busflotten  für zeitgerechte umsetzung der clean vehicles  directive finanziell fördern phaseoutpfad für  diesel festlegen   ladeinfrastruktur vereinheitlichen  bestbieterprinzip inkl anwendung von qualitäts  und sozialkriterien bei regionalen ausschreibungen  im busverkehrradpaket und zufußgehen    offensive für aktive sanfte mobilität  fahrradoffensive   bekenntnis zur erhöhung des radverkehrs  a nteils  von derzeit    auf     b is zum jahr   neue radkultur berücksichtigung des radverkehrs bei allen infrastrukturinvestitionen für  straßen bahnhöfe wohnstädtebau und in der  raumplanung   deutlicher ausbau der bundesfinanzierung für  infrastruktur routing kombination radöffis;6.0;6_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - luftfahrt - verkehrs - schifffahrt - bahn - entlang;1.0;1.0;(7.0, 0.25, 20, 5)
österreich ist vorreiter in der umwelttechnologie  wir  exportieren unser wissen in die ganze welt dabei zeigen  wir immer wieder dass umwelt und wirtschaftspolitik  kein widerspruch sein müssen vielmehr können sie hand  in hand gehen echte kreislaufwirtschaft arbeitet dabei  nach den prinzipien vermeiden wiederverwenden und  verwerten denn wertvolle ressourcen müssen verantwortungsbewusst sparsam und effizient genutzt werden;8.0;8_umsetzung_weiterentwicklung_lebensmittel_klimaschutz;umsetzung - weiterentwicklung - lebensmittel - klimaschutz - landwirtschaft - maßnahmen - ziel - erneuerbaren - europa - erhalt;1.0;1.0;(7.0, 0.25, 20, 5)
 umsetzung der eurecyclingvorgaben   unterstützung österreichischer umwelttechnologieunternehmen durch die umsetzung des masterplans umwelttechnologie  programme zur grünen chemie und zu innovativen  geschäftsmodellen wie chemikalien leasing mit  dem ziel eines effizienten und reduzierten chemikalieneinsatzes artenvielfalt erhalten    natur schützen  erneuerung und weiterentwicklung der nationalen  biodiversitätsstrategie biodiversitätsstrategie   sowie aufnahme aller sektoren  finanzierung eines biodiversitätsfonds zur umsetzung der biodiversitätsstrategie   unterstützung der bundesländer bei der ausweisung neuer und erhaltung von bestehenden wildnisgebieten naturagebieten biosphärenparks  und schutzgebieten gemeinsame initiative mit den bundesländern zur  schaffung neuer und erweiterung bestehender  nationalparks  weiterentwicklung der erfassung und bewertung  von ökosystemleistungen   bundesweite koordinierung der landesspezifischen  insekten und artenschutzmonitorings und bündelung von expertise  klärung und allfällige anpassung der kompetenzrechtslage im bereich biodiversität  vereinheitlichung der bioindikatoren und biotopkartierung  förderung des lebensraumverbundes und der  strukturvielfalt in der landschaft  konzept für den schutz und die nachhaltige nutzung alpiner freiräume gemäß alpenkonvention  engagierte umsetzung internationaler verpflichtungen  entwicklung von biotopverbundsystemen die  artenvielfalt ermöglichen  schaffung von anreizen für biodiversitätsmaßnahmen  maßnahmen zur wiederherstellung von degradierten ökosystemen   einrichtung einer euweiten wildökologischen raumplanung und ausarbeitung von wildtiermanagementlösungen im einklang mit eurecht  reduktion von palmöl in allen produkten auf nationaler und europäischer ebene forcieren schutz vor naturgefahren  ausreichende dotierung für den schutz vor  naturgefahren  ausbau des hochwasserschutzes und zusammenführung der zuständigkeit für hochwasserschutz auf allen fließstrecken förderkriterien  vereinheitlichen nichtbaulichen maßnahmen  vorrang vor technischem hochwasserschutz  einräumen  ziel ist es dem dezentralen und ökologischen  hochwasserschutz mehr gewicht zu geben  verbesserung der katastrophenhilfe insbesondere schaffung klarer zuständigkeiten vereinheitlichung der kriterien für die mittelvergabe  zweckbindung der ressourcen wegfall der  millioneneurogrenze zur vorziehung von  hochwasserschutzprojekten  verstärkung der nachhaltigen schutzwaldbewirtschaftung naturverjüngung des waldes  klimafitter wald  ökologische gartenbewirtschaftung privater gärten  und öffentlicher grünflächen z  b  schulen kindergärten weiter vorantreiben zur förderung der  biodiversität  weitestgehender verzicht auf pflanzenschutzmittel bei öffentlichen flächen  reduktion von negativen auswirkungen invasiver  gebietsfremder arten wasser schützen  schutz des wassers als zentrales element der  daseinsvorsorge  kein ausverkauf der ressource wasser   sicherstellung der langfristigen versorgung der  bevölkerung mit trinkwasser und verbesserung  der versorgungssicherheit erhalt und erweiterung der trinkwasserversorgungsinfrastruktur  und der wasserqualität absicherung der siedlungswasserwirtschaft  rechtzeitige überarbeitung des nitrataktionsprogramms und erlassung geeigneter maßnahmen zur einhaltung der grenzwerte für nitrat  erhalt und erweiterung der abwasserinfrastruktur zur geordneten abwasserentsorgung  abwasserreinigungsanlagen kanäle  entwicklung einer phosphorstrategie zur phosphorrückgewinnung aus klärschlamm in den kläranlagen  ausreichend ufgfördermittel für gewässerökologische maßnahmen zur erreichung der wasserrahmenrichtlinie  weiterentwicklung der integrativen wasserwirtschaftlichen planung im dritten nationalen gewässerschutzplan im rahmen des unionsrechts  weiterentwicklung der ziele zur erreichung  eines guten gewässerzustandes  nachhaltige sicherung der wasserressourcen  unter berücksichtigung von klimawandel und  grundwasserverunreinigungen  konkrete reduktionsziele für nitrat und pestizide  integrativer ökologischer hochwasserschutz mit  regelmäßigen und einheitlichen fortschrittskontrollen  gesetzliche vorrangstellung der trinkwasserversorgung bei nutzungskonflikten  vereinheitlichung der voraussetzungen für die  errichtung von schneedepots  trinkwasserversorgung bleibt in öffentlicher hand  keine wasserprivatisierung  rechtliche erleichterungen für die umsetzung  hydromorphologischer maßnahmen zur erreichung  der wasserrahmenrichtliniesaubere luft und   besserer lärmschutz  zielpfad zur raschen einhaltung der eurichtwerte  zum gesundheitsschutz und zur einhaltung von  sdg  gesundes leben   weiterentwicklung und umsetzung des nationalen  luftreinhalteprogramms   mit konkreten und quantifizierbaren maßnahmen  zur erfüllung der europäischen emissionsreduktionsverpflichtungen insbesondere für ammoniak stickoxide und feinstaub   mit kostenschätzung und finanzieller sicherstellung  verbesserungen im immissionsschutzgluft   der bund unterstützt die länder bei sofortmaßnahmen und vorbeugenden reduktionsmaßnahmen in belasteten gebieten;8.0;8_umsetzung_weiterentwicklung_lebensmittel_klimaschutz;umsetzung - weiterentwicklung - lebensmittel - klimaschutz - landwirtschaft - maßnahmen - ziel - erneuerbaren - europa - erhalt;1.0;1.0;(7.0, 0.25, 20, 5)
 es ist die gemeinsame verantwortung österreichs und italiens die eigenständige entwicklung zu garantieren und in enger abstimmung  mit den vertreterinnen und vertretern der  deutsch und ladinischsprachigen volksgruppen  in südtirol die autonomie weiterzuentwickeln;2.0;2_migration_internationaler_eu_österreichs;migration - internationaler - eu - österreichs - europäischen - setzt - stärkung - ebene - asyl - bundesheer;1.0;1.0;(7.0, 0.25, 20, 5)
 aktive menschenrechtspolitik in relevanten internationalen verträgen und organisationen  als einer der vier amtssitze der vereinten nationen  und ort für internationale verhandlungen bekennt  sich österreich zu einer auf menschenrechten  friedensorientierung und multilateralismus sowie  dem völkerrecht basierenden außen und entwicklungspolitik österreich setzt sich weltweit gegen  autoritäre tendenzen und für jene kräfte ein die  demokratie und rechtsstaatlichkeit ein funktionierendes gemeinwesen ein leben in freiheit sicherheit und würde sowie gute regierungsführung  voranbringen wollen;2.0;2_migration_internationaler_eu_österreichs;migration - internationaler - eu - österreichs - europäischen - setzt - stärkung - ebene - asyl - bundesheer;1.0;1.0;(7.0, 0.25, 20, 5)
 schrittweise digitalisierung des verfahrens  in einem ersten schritt soll die antragstellung durch arbeitgeberinnen und arbeitgeber auch online möglich sein ziel ist es in  einem weiteren schritt auch digitale verfahren für antragstellende auf rwrkarte zu  ermöglichen unter wahrung der feststellung  der persönlichen identität;3.0;3_digitale_digitalen_digitalisierung_verwaltung;digitale - digitalen - digitalisierung - verwaltung - bereich - prüfung - forschung - berücksichtigung - unternehmen - bürgerinnen;1.0;1.0;(7.0, 0.25, 20, 5)
weiters ist es wichtig den gesundheits sowie pflegebereich stets gesamthaft zu betrachten ziel muss es  sein durch prävention und rehabilitation den anteil an  gesunden jahren zu erhöhen und somit pflegebedürftigkeit so lange wie möglich zu vermeiden grundprinzipien  die unterstützung von betreuungs und pflegebedürftigen menschen und ihrer an und zugehörigen  ist nicht nur aufgabe der familien selbst sondern  ein gesamtgesellschaftlicher auftrag;5.0;5_pflege_familien_versorgung_menschen;pflege - familien - versorgung - menschen - ausbau - betreuung - pflegende - kinder - maßnahmen - angehörige;1.0;1.0;(7.0, 0.25, 20, 5)
wir wollen dass österreicherinnen und österreicher länger gesundheitlich uneingeschränkt leben können dazu  müssen wir einen fokus auf prävention rehabilitation  und stärkung der gesundheitskompetenz der oder des  einzelnen setzen damit der anteil der gesunden jahre für  alle erhöht wird die gesundheit der beschäftigten ist das  beste und effektivste mittel um das tatsächliche pensions alter an das gesetzliche heranzuführen investitionen in  die gesundheit von menschen reduzieren nachweislich  arbeitsunfähigkeit und kosten im gesundheits wie auch  im pensionssystem deshalb setzen wir maßnahmen um  das effektive pensionsantrittsalter deutlich zu erhöhen  menschen sollen in ihrer arbeit gesund bis ins pensionsalter kommen um das zu erreichen schaffen wir ein betriebliches gesundheitsmanagement das den erhalt der  gesundheit von arbeitnehmerinnen und arbeitnehmern  besonders in den vordergrund stellt dieser zugang  erleichtert auch ein frühwarnsystem unter den sozialversicherungsträgern und ermöglicht ein an klientinnen und  klienten orientiertes casemanagement das die gesundheitsinteressen in den mittelpunkt stellt;7.0;7_menschen_gesundheit_schulen_euro;menschen - gesundheit - schulen - euro - positionierung - maßnahmen - erhalt - berücksichtigung - stärkung - gap;1.0;1.0;(7.0, 0.25, 20, 5)
die bundesregierung hat sich daher zum ziel gesetzt  umwelt wirtschaft und arbeitswelt angesichts dieser  herausforderungen gemeinsam zu denken und für eine  sozial verträgliche bewältigung der herausforderungen  just transition zu sorgen das umfasst dass erwerbseinkommen auch vor armut schützen verstärkter einsatz  in den bereichen bildung weiterbildung nachhaltige  qualifikation und berufliche umorientierung sollen sicherstellen dass auch in zukunft ausreichend gut ausgebildete  und motivierte fachkräfte zur verfügung stehen gerade  branchen und betriebe bei denen die digitalisierung oder  die klimakrise eine besondere rolle spielt sollen aktiv  dabei unterstützt werden zukunftsfit zu werden;9.0;9_bekennt_nachhaltige_startups_risikokapital;bekennt - nachhaltige - startups - risikokapital - kmus - investoren - verantwortung - innovative - institutionelle - anlageformen;1.0;1.0;(7.0, 0.25, 20, 5)
 evaluierung der sozialen absicherung der gruppe  der selbstständigen im rahmen der zusammenführung der träger sva und svb zur svs hochqualitative abgestufte   flächendeckende und wohnortnahe  gesundheitsversorgung  aufwertung der bundeszielsteuerungskommission  evaluierung und stärkung der sektorübergreifenden  zusammenarbeit z  b  abstimmung im bereich der  heilmittel  telefonische erstberatung  aufwerten und  weiterentwickeln  telemedizinische behandlung bestmöglich umsetzen  weiterentwicklung der ecard als schlüssel für  papierlose prozesse unter berücksichtigung des  datenschutzes  eimpfpass erezept ebefund etransportschein emedikation  digitalisierung auch in medizinischer forschung  diagnose und behandlung vorantreiben  ausnahmslose nutzung von anonymisierten daten  zu wissenschaftlichen zwecken   wissenschaftliche evaluierung der implementierung  von international classification of primary care  ausbau der primärversorgung die den bedürfnissen  der versicherten entgegenkommt z  b  etablierung von allgemeinmedizinischen akutordinationen vor  oder in den spitälern zur vorgelagerten versorgung  ausbau von pve und facharztzentren  flexible  kooperationsmodelle  abschaffung der unechten ustbefreiung bei vermietung an ärztinnen und ärzte  stärkung der integrierten versorgung bei chronischen krankheiten ausbau von diseasemanagementprogrammen  wohnortnahe versorgung der bevölkerung durch  niedergelassene kassenärztinnen und kassenärzte  fachärztin bzw facharzt für allgemeinmedizin   attraktivierung der allgemeinmedizinerausbildung  klinischpraktisches jahr finanzieren   ziel integration der inhalte der basisausbildung um  das klinischpraktische jahr  erweiterung der vertragsarztmodelle aufbauend  auf dem heutigen vertragspartnerrecht soll dieses  weiterentwickelt und ausgebaut werden um die  versorgung vor allem im ländlichen raum sicherzustellen;5.0;5_pflege_familien_versorgung_menschen;pflege - familien - versorgung - menschen - ausbau - betreuung - pflegende - kinder - maßnahmen - angehörige;1.0;1.0;(7.0, 0.25, 20, 5)
inklusion im bildungssystem bis zum  tertiären system  laufende barrierefreie ausstattung von bildungseinrichtungen  laufende bereitstellung der benötigten hilfsmittel  und infrastruktur weiterentwicklung der qualität pädagogischer  angebote für schülerinnen und schüler mit behinderungen und barrierefreier bildungswege sowie  ausreichend gut ausgebildete sonderpädagoginnen bzw pädagogen und assistentinnen bzw;1.0;1_weiterentwicklung_schulen_pädagogen_hochschulen;weiterentwicklung - schulen - pädagogen - hochschulen - evaluierung - elementarpädagogik - lehre - bereich - schülerinnen - pädagogischen;1.0;1.0;(7.0, 0.25, 20, 5)
jede familie soll die wahlmöglichkeit haben ihr gemeinsames leben zu gestalten aufgabe der bundesregierung ist  es dafür die passenden rahmenbedingungen in bezug auf  die betreuung vereinbarkeit von familien und erwerbsleben und die bekämpfung von kinderarmut zu schaffen;5.0;5_pflege_familien_versorgung_menschen;pflege - familien - versorgung - menschen - ausbau - betreuung - pflegende - kinder - maßnahmen - angehörige;1.0;1.0;(7.0, 0.25, 20, 5)
neben den betroffenen schülerinnen und schülern werden  besonders die pädagoginnen und pädagogen im zentrum  unserer bemühungen stehen sie leisten hervorragende  arbeit und verdienen dabei weitere unterstützung für ihre  verantwortungsvollen aufgaben darüber hinaus werden  wir die berufsbildung für die fachkräfte der zukunft  stärken und das angebot für lebensbegleitende erwachsenenbildung ausbauen wir wollen rahmenbedingungen  für alle kinder und jugendlichen zur verfügung stellen die  leistung ebenso ermöglichen wie kreativität bewegung  und die entwicklung sozialer fähigkeitenstärkung der elementaren bildung  errichtung eines beirates für elementarpädagogik  mitglieder dieses beirats sind ngosexpertinnen  und experten länder sowie gemeinden zur förderung der österreichweiten zusammenarbeit und  um vorschläge für einheitliche qualitätsmindeststandards in der elementarpädagogik zu erarbeiten;1.0;1_weiterentwicklung_schulen_pädagogen_hochschulen;weiterentwicklung - schulen - pädagogen - hochschulen - evaluierung - elementarpädagogik - lehre - bereich - schülerinnen - pädagogischen;1.0;1.0;(7.0, 0.25, 20, 5)
 beibehaltung und strategische weiterentwicklung der bestehenden bundesbildungsanstalten  für elementarpädagogik bafep z  b  erweiterung der schwerpunkte  flächendeckende vereinheitlichung der pädagogischen ausbildung von assistenzpersonal zur  sicherstellung eines breiten betreuungsspektrums  eröffnung von möglichkeiten zur ausbildung und  für den berufseinstieg für quereinsteigerinnen  und quereinsteiger  kriterien für eine qualitätsvolle bundesweit  einheitliche ausbildung für tageseltern auch  betriebstageseltern sind zu definieren und in  den bildungsrahmenplan aufzunehmen;1.0;1_weiterentwicklung_schulen_pädagogen_hochschulen;weiterentwicklung - schulen - pädagogen - hochschulen - evaluierung - elementarpädagogik - lehre - bereich - schülerinnen - pädagogischen;1.0;1.0;(7.0, 0.25, 20, 5)
 schaffung eines neuen nationalen zentrums für  klimaforschung und daseinsvorsorge als anstalt  öffentlichen rechts durch die zusammenführung der  geologischen bundesanstalt gba und der zentralanstalt für meteorologie und geodynamik zamg  umwelt  klimaschutz erfassung der bestehenden aktivitäten zu umwelt und klimaforschung;4.0;4_klimaschutz_maßnahmen_gas_twh;klimaschutz - maßnahmen - gas - twh - erneuerbaren - flächen - öffentliche - energie - hand - energieträger;1.0;1.0;(7.0, 0.25, 20, 5)
 datenschutz ist ein wichtiger teil dieses digitalchecks;3.0;3_digitale_digitalen_digitalisierung_verwaltung;digitale - digitalen - digitalisierung - verwaltung - bereich - prüfung - forschung - berücksichtigung - unternehmen - bürgerinnen;1.0;1.0;(7.0, 0.25, 20, 5)
 eine öffnung der verkehrsauskunft österreich  als open service und open data soll koordiniert  durch den bund ermöglicht werden;3.0;3_digitale_digitalen_digitalisierung_verwaltung;digitale - digitalen - digitalisierung - verwaltung - bereich - prüfung - forschung - berücksichtigung - unternehmen - bürgerinnen;1.0;1.0;(7.0, 0.25, 20, 5)
und die herausforderungen von heute verlangen nach einer neuen koalition der verantwortung dieser weg hat österreich wirtschaftlich so erfolgreich und so einzigartig  gemacht unterschiede überwinden zwischen stadt und land zwischen allen bevölkerungsgruppen einander und dem land die nötige stabilität geben um die großen  fragen anzugehen die neue volkspartei und die grünen gehen eine neue etappe dieses  österreichischen weges chancen nützen heißt verantwortung übernehmen;3.0;3_migration_österreichs_eu_europäischen;migration - österreichs - eu - europäischen - internationaler - setzt - ort - organisationen - stärkung - bundesheer;1.0;1.0;(7.0, 0.25, 25, 6)
transparenz ist ein entscheidender faktor eines demokratischen gemeinwesens daher werden wir das wahlrecht  zeitgemäß modernisieren und vollständige transparenz  der parteien und vor allem im bereich der parteienfinanzierung herstellen damit wollen wir das vertrauen in die  politik stärken und das politische engagement fördern;2.0;2_polizei_stärkung_prüfung_schaffung;polizei - stärkung - prüfung - schaffung - sicherheit - evaluierung - bekämpfung - schutz - rahmen - bmi;1.0;1.0;(7.0, 0.25, 25, 6)
 bekenntnis zur stärkeren sichtbarmachung der  volksgruppen im orf  sicherstellung der radioprogramme in volksgruppensprachen   verstärkte berücksichtigung der volksgruppen  entsprechend den öffentlichrechtlichen verpflichtungen des orf  erweiterung der fernsehprogrammfläche auf das  programm orf iii  berücksichtigung der sprachen der anerkannten  volksgruppen  einrichtung einer arbeitsgruppe unter einbeziehung  der volksgruppenvertretungen zur prüfung einer  modernisierung der volksgruppenvertretung  volksgruppensprachen im virtuellen raum  amtssprache im virtuellen raum   finanzamt  gemeindewebsites und onlinedienste der  gemeinden kann über fa kommen zweisprachige bezirksgerichtsbarkeit der volksgruppen  absicherung der zweisprachigen bezirksgerichtsbarkeit im siedlungsgebiet bei zusammenlegungen von bezirksgerichten im zweisprachigen gebiet ist sicherzustellen dass in den  volksgruppensprachen ein gleichberechtigter  und leistungsfähiger teil der österreichischen  justiz bleibt;4.0;4_digitale_digitalisierung_digitalen_verwaltung;digitale - digitalisierung - digitalen - verwaltung - berücksichtigung - bereich - unternehmen - prüfung - bürgerinnen - schaffung;1.0;1.0;(7.0, 0.25, 25, 6)
darüber hinaus muss der rechtsbestand auf basis wissenschaftlicher erkenntnisse stetig evaluiert und im hinblick  auf die gesellschaftlichen und wirtschaftlichen entwicklungen modernisiert werden so muss beispielsweise  das strafrecht neue bedrohungslagen abbilden um die bevölkerung effektiv zu schützen und die korruptionsbekämpfung effektiv voranzutreiben der opferschutz soll  gestärkt und auf neue phänomene wie beispielsweise  hass im netz muss wirkungsvoll reagiert werden im  wirtschaftsrecht und konsumentenschutz gilt es durch  einen klugen interessensausgleich rahmenbedingungen  zu schaffen die sich positiv auf das tägliche leben der  menschen auswirken und im bereich wohnen wollen wir  leistbare mieten die bildung von eigentum nachhaltigkeit  und fairness fördern;2.0;2_polizei_stärkung_prüfung_schaffung;polizei - stärkung - prüfung - schaffung - sicherheit - evaluierung - bekämpfung - schutz - rahmen - bmi;1.0;1.0;(7.0, 0.25, 25, 6)
 ausweitung und förderung der zugangsmöglichkeit  verwandter berufsgruppen zum richterstaatsanwaltsberuf und umgekehrt  prüfung einer österreichweiten vereinheit  l ichung  und professionalisierung der justiz  au s und fortbildung unter einbeziehung der wissenschaft  ergänzung der richterlichen und staatsanwaltlichen  regelausbildung um die verpflichtenden module  umweltstrafrecht und technikklauseln stand  der technik regeln der technik stand der wissenschaft und bedeutung von grundsätzlich unverbindlichen normen  schaffung geeigneter rahmenbedingungen zur  attraktivierung des amtes des familienrichters  erfahrene richterinnen bzw richter und  staatsanwältinnen bzw staatsanwälte aus den  instanzen sollen künftig ihre erreichte gehaltsposition in eine funktional niedriger entlohnte  position z  b  die der familienrichterin bzw des  familienrichters mitnehmen können;2.0;2_polizei_stärkung_prüfung_schaffung;polizei - stärkung - prüfung - schaffung - sicherheit - evaluierung - bekämpfung - schutz - rahmen - bmi;1.0;1.0;(7.0, 0.25, 25, 6)
die bundesregierung bekennt sich zu einer finanz und  budgetpolitik die fiskalische stabilität sicherstellt und  den heimischen unternehmerinnen bzw unternehmern  und arbeitnehmerinnen bzw arbeitnehmern planungssicherheit bietet der staat soll dabei mit gutem beispiel  vorangehen und mit dem geld der steuerzahlenden sorgsam umgehen während er überall dort wo es sinnvoll und  notwendig ist spielräume schafft um durch öffentliche  investitionen das allgemeinwohl zu fördern;6.0;6_bekennt_prüfung_verantwortung_nachhaltige;bekennt - prüfung - verantwortung - nachhaltige - gemeinsame - schaffung - menschen - gebietskörperschaften - investoren - arbeit;1.0;1.0;(7.0, 0.25, 25, 6)
 enge abstimmung mit anderen politischen  zielsetzungen wie etwa der ftistrategie der  klima und energiepolitik der arbeitsmarktpolitischen zielsetzung und der bildungspolitik  auf stärken bauen bestehende stärken wie z  b ;1.0;1_maßnahmen_klimaschutz_umsetzung_ziel;maßnahmen - klimaschutz - umsetzung - ziel - erneuerbaren - energie - reduktion - erreichung - nationalen - landwirtschaft;1.0;1.0;(7.0, 0.25, 25, 6)
 einführung eines sozial verträglichen sanierungsgebots  für sich rasch amortisierende maßnahmen  wie beispielsweise die dämmung der obersten geschoßdecke  begleitet durch geförderte beratungen sowie  spezielle förderangebote  mit ausnahmeregelungen und schwellenwerten  förderprogramme für die thermischenergetische sanierung von nutzgebäuden  steigerung der sanierungsqualität und damit rasche  verbrauchsreduktion und kosten  e rsparnis für die  haushalte insbesondere durch folgende maßnahmen erstellung eines sanierungskonzepts bei jeder  geplanten größeren renovierungsmaßnahme  nach vorbild energieausweis mit dem ziel sinnvolle sanierungsabfolgen zu gewährleisten und  für maximale verbrauchsreduktion zu möglichst  geringen kosten zu sorgen  umsetzung der leitlinien für bauökologisch vorteilhafte sanierungen gemäß energieeffizienzgesetz   abs    weiterführung des förderschwerpunkts für ökologisch vorteilhafte sanierungen  weiterentwicklung der standards in den bauvorschriften in zusammenarbeit mit den bundesländern  mit folgenden zielen  vorbereitung bzw planung der nächsten anpassung der oibrichtlinie    nullemissionsgebäude schritt für schritt zum  standard machen  ausrichtung der baustandards in den bauordnungen in neubau und sanierung gemäß kostenoptimalem niveau der niedrigstenergiestandards  anschluss bzw lademöglichkeiten für batterieelektrische fahrzeuge sind bei allen neubauten  vorzusehen in bestandsgebäuden sind die  rechtlichen rahmenbedingungen so zu gestalten dass entsprechende nachrüstungen leicht  erfolgen können;1.0;1_maßnahmen_klimaschutz_umsetzung_ziel;maßnahmen - klimaschutz - umsetzung - ziel - erneuerbaren - energie - reduktion - erreichung - nationalen - landwirtschaft;1.0;1.0;(7.0, 0.25, 25, 6)
 spezielle förderungen für industrielle clusterleitprojekte von branchenführern bei denen  klimaschutz fe und innovation einen hohen  stellenwert genießen durch obengenannte  instrumente  förderung der energieeffizienz in der produktion  in industrie und gewerbeunternehmen sowie der  erzeugnisse über deren lebenszyklus einrichtung  von anreizsystemen für unternehmen zum ersatz  ineffizienter technologien investitionsprämien zur erhöhung der transformationsgeschwindigkeit sollen unternehmen mittelfristig und planbar angelegt investitionsprämien  für investitionen in klimaschonende technologien  erhalten;1.0;1_maßnahmen_klimaschutz_umsetzung_ziel;maßnahmen - klimaschutz - umsetzung - ziel - erneuerbaren - energie - reduktion - erreichung - nationalen - landwirtschaft;1.0;1.0;(7.0, 0.25, 25, 6)
luftfahrt schifffahrt und auch seilbahnwirtschaft sind  im zusammenhang mit den bereichen verkehr und infrastruktur nicht zu vernachlässigen  auch hier werden  ökologische ökonomische und soziale ziele verfolgt;7.0;7_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - bahn - luftfahrt - verkehrs - entlang - güterverkehr;1.0;1.0;(7.0, 0.25, 25, 6)
 besondere berücksichtigung finden attraktive  mobilitätsdienstleistungen sowohl für urbane  zentren als auch für ländliche gebiete;7.0;7_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - bahn - luftfahrt - verkehrs - entlang - güterverkehr;1.0;1.0;(7.0, 0.25, 25, 6)
