Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 die funktionsfahigkeit und integritat des internets wird weltweit durch eine reihe von kernprotokollen und unterstutzenden infrastrukturen gewahrleistet   dazu gehort das domanennamensystem dns mit seinem hierarchischen und delegierten zonensystem beginnend an der hierarchiespitze mit der rootzone und den dreizehn dnsrootservern   von denen das world wide web abhangt die kommission beabsichtigt die ausarbeitung eines durch eumittel unterstutzten notfallplans fur die bewaltigung von extremszenarien die die integritat und verfugbarkeit des globalen dnsrootsystems beeintrachtigen sie wird mit der enisa den mitgliedstaaten den beiden dnsrootservern  in der eu sowie der multistakeholdergemeinschaft zusammenarbeiten um zu bewerten welche rolle diesen serverbetreibern bei der gewahrleistung eines unter allen umstanden weltweit funktionierenden zugangs zum internet zukommt ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 6
 den cyberdialog der eu mit drittlandern regionalen und internationalen organisationen ausweiten u a durch ein informelles eunetz fur cyberdiplomatie ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 6
 den cyberdialog der eu mit drittlandern regionalen und internationalen organisationen ausweiten u a durch ein informelles eunetz fur cyberdiplomatie ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 6
 den rahmen fur die cyberabwehr uberprufen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 6
 die zustandigen organe der union und die mitgliedstaaten treffen auf unionsebene bzw auf nationaler ebene die notwendigen maßnahmen um die gemeinsame verwirklichung des in absatz  festgelegten ziels der klimaneutralitat zu ermoglichen und berucksichtigen dabei die bedeutung der forderung sowohl von fairness als auch von solidaritat zwischen den mitgliedstaaten und von kostenwirksamkeit bei der verwirklichung dieses ziels;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - einschließlich - mitgliedstaat - klimaneutralitat - rahmen - verwirklichung - folgende;1.0;1.0;model 6
 der beirat hat folgende aufgaben a berucksichtigung der neusten wissenschaftlichen erkenntnisse aus den berichten des ipcc und der wissenschaftlichen klimadaten insbesondere der fur die union relevanten informationen b wissenschaftliche beratung und erstellung von berichten uber bestehende und vorgeschlagene maßnahmen klimaziele und indikative treibhausgasbudgets der union sowie deren vereinbarkeit mit den zielen dieser verordnung und den internationalen verpflichtungen der union gemaß dem ubereinkommen von paris c beitrag zum austausch unabhangiger wissenschaftlicher erkenntnisse in den bereichen modellierung uberwachung vielversprechende forschung und innovationen die zur verringerung der emissionen oder zur steigerung des abbaus von treibhausgasen beitragen d ermittlung von maßnahmen und moglichkeiten die erforderlich sind um die klimaziele der union zu verwirklichen e scharfung des bewusstseins fur den klimawandel und seine auswirkungen sowie forderung des dialogs und der zusammenarbeit zwischen wissenschaftlichen gremien innerhalb der union als erganzung der bestehenden tatigkeiten und anstrengungen;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - einschließlich - mitgliedstaat - klimaneutralitat - rahmen - verwirklichung - folgende;1.0;1.0;model 6
 bis zum  september  und danach alle funf jahre bewertet die kommission a die vereinbarkeit von nationalen maßnahmen die auf der grundlage der gemaß der verordnung eu  vorgelegten integrierten nationalen energie und klimaplane nationalen langfristigen strategien und zweijahrlichen fortschrittsberichte ermittelt werden soweit diese fur die verwirklichung des ziels der klimaneutralitat gemaß artikel  absatz  der vorliegenden verordnung von belang sind mit diesem ziel b die vereinbarkeit der einschlagigen nationalen maßnahmen mit der sicherstellung von fortschritten bei der anpassung gemaß artikel  wobei die nationalen anpassungsstrategien gemaß artikel  absatz  berucksichtigt werden die kommission unterbreitet dem europaischen parlament und dem rat die schlussfolgerungen dieser bewertung zusammen mit dem in dem entsprechenden kalenderjahr im einklang mit artikel  der verordnung eu  erstellten bericht uber die lage der energieunion;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - einschließlich - mitgliedstaat - klimaneutralitat - rahmen - verwirklichung - folgende;1.0;1.0;model 6
   die marktteilnehmer bieten jede zur erleichterung der durchfuhrung der kontrollen gemaß absatz  erforderliche hilfestellung an insbesondere hinsichtlich des zutritts zum betriebsgelande und der vorlage von unterlagen bzw aufzeichnungen;2.0;2_holz_gemaß_holzerzeugnissen_marktteilnehmer;holz - gemaß - holzerzeugnissen - marktteilnehmer - kontrollen - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;model 6
anderungen des anhangsum einerseits den erfahrungen bei der durchfuhrung dieser verordnung insbesondere den durch die berichterstattung nach artikel  absatze  und  und durch den in artikel  genannten informationsaustausch gesammelten und andererseits den entwicklungen bezuglich der technischen merkmale der endverwender und der verfahren zur herstellung von holz und holzerzeugnissen rechnung zu tragen kann die kommission nach artikel  aeuv delegierte rechtsakte zur anderung und erganzung des verzeichnisses der holzer und holzerzeugnisse im anhang erlassen durch solche rechtsakte darf den wirtschaftsteilnehmern keine unverhaltnismaßige belastung entstehenfur die in diesem absatz genannten delegierten rechtsakte gelten die in den artikeln   und  niedergelegten verfahren;2.0;2_holz_gemaß_holzerzeugnissen_marktteilnehmer;holz - gemaß - holzerzeugnissen - marktteilnehmer - kontrollen - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;model 6
   der erste der in absatz  genannten berichte enthalt eine bewertung der gegenwartigen wirtschaftlichen und handelsbezogenen lage in der union mit blick auf die in kapitel  der kombinierten nomenklatur aufgefuhrten erzeugnisse wobei die wettbewerbsfahigkeit der betroffenen wirtschaftszweige besonders berucksichtigt wird um zu prufen ob diese erzeugnisse in das verzeichnis der holzer und holzerzeugnisse im anhang dieser verordnung aufgenommen werden konnender in unterabsatz  genannte bericht enthalt zudem eine bewertung der wirksamkeit des verbots des inverkehrbringens von holz und holzerzeugnissen aus illegalem einschlag gemaß artikel  absatz  und der in artikel  niedergelegten sorgfaltspflichtregelungen;2.0;2_holz_gemaß_holzerzeugnissen_marktteilnehmer;holz - gemaß - holzerzeugnissen - marktteilnehmer - kontrollen - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;model 6
